frame.number,frame.time_relative,usb.src,usb.dst,usb.endpoint_address,usb.transfer_type,usbhid.data
111,41.584632000,host,1.2.1,0x01,0x01,35070800ca0c02080102100001010101010101010101010101010101010101010101010610000101010101010101010106100001010101010101010101010100
112,41.588558000,1.2.1,host,0x01,0x01,
113,42.663850000,host,1.2.1,0x01,0x01,350908008a0704080010001000010101010101010101010101010101010101010101010106100001010101010101010101061000010101010101010101010100
114,42.675680000,1.2.1,host,0x01,0x01,
115,42.679911000,1.2.1,host,0x81,0x01,00350908028a0704080010004964223a22616d70222c22696e646578223a317d2c226f7574707574223a7b226e6f64654964223a2264656c6179222c22696e64
116,42.679969000,host,1.2.1,0x81,0x01,
117,42.681168000,host,1.2.1,0x01,0x01,35070800b20602080100100010000101010101010101010101010101010101010101010101061000010101010101010101010610000101010101010101010100
118,42.684802000,1.2.1,host,0x01,0x01,
119,42.685803000,1.2.1,host,0x81,0x01,00350c0802ba06070a05312e302e37223a22616d70222c22696e646578223a317d2c226f7574707574223a7b226e6f64654964223a2264656c6179222c22696e
120,42.685843000,host,1.2.1,0x81,0x01,
121,42.686615000,host,1.2.1,0x01,0x01,35070800ca0602080101001000100001010101010101010101010101010101010101010101010610000101010101010101010106100001010101010101010100
122,42.688067000,1.2.1,host,0x01,0x01,
123,42.691353000,1.2.1,host,0x81,0x01,00333d0802fa0187110a82117b226e6f646554797065223a2022707265736574222c226e6f64654964223a2022707265736574222c2276657273696f6e223a20
124,42.691404000,host,1.2.1,0x81,0x01,
125,42.695666000,1.2.1,host,0x81,0x01,00343d22312e31222c226e756d496e70757473223a20322c226e756d4f757470757473223a20322c22696e666f223a207b22646973706c61794e616d65223a20
126,42.695727000,host,1.2.1,0x81,0x01,
127,42.698827000,1.2.1,host,0x81,0x01,00343d2246454e4445522020434c45414e202020222c227072657365745f6964223a202238323730316533652d636166372d313165372d623732312d31373165
128,42.698877000,host,1.2.1,0x81,0x01,
129,42.701496000,1.2.1,host,0x81,0x01,00343d3663376433303930222c22617574686f72223a2022222c22736f757263655f6964223a2022222c2274696d657374616d70223a20313531303835353030
130,42.701519000,host,1.2.1,0x81,0x01,
131,42.702658000,1.2.1,host,0x81,0x01,00343d352c22637265617465645f6174223a20302c2270726f647563745f6964223a20226d757374616e672d6c74222c2269735f666163746f72795f64656661
132,42.702700000,host,1.2.1,0x81,0x01,
133,42.703837000,1.2.1,host,0x81,0x01,00343d756c74223a20747275652c2262706d223a20307d2c22617564696f4772617068223a207b226e6f646573223a205b7b226e6f64654964223a202273746f
134,42.703882000,host,1.2.1,0x81,0x01,
135,42.705002000,1.2.1,host,0x81,0x01,00343d6d70222c226e6f646554797065223a2022647370556e6974222c2246656e6465724964223a2022445542535f53696d706c65436f6d70726573736f7222
136,42.705039000,host,1.2.1,0x81,0x01,
137,42.706105000,1.2.1,host,0x81,0x01,00343d2c22647370556e6974506172616d6574657273223a207b22627970617373223a2066616c73652c2262797061737354797065223a2022506f7374222c22
138,42.706130000,host,1.2.1,0x81,0x01,
139,42.707274000,1.2.1,host,0x81,0x01,00343d74797065223a20226d656469756d227d7d2c7b22647370556e6974506172616d6574657273223a207b7d2c2246656e6465724964223a2022445542535f
140,42.707303000,host,1.2.1,0x81,0x01,
141,42.708378000,1.2.1,host,0x81,0x01,00343d5061737374687275222c226e6f646554797065223a2022647370556e6974222c226e6f64654964223a20226d6f64227d2c7b226e6f64654964223a2022
142,42.708398000,host,1.2.1,0x81,0x01,
143,42.709475000,1.2.1,host,0x81,0x01,00343d616d70222c226e6f646554797065223a2022647370556e6974222c2246656e6465724964223a2022445542535f5477696e3635222c22647370556e6974
144,42.709508000,host,1.2.1,0x81,0x01,
145,42.710605000,1.2.1,host,0x81,0x01,00343d506172616d6574657273223a207b22766f6c756d65223a202d31312e31323637342c2267617465507265736574223a20226f6666222c22676174654465
146,42.710624000,host,1.2.1,0x81,0x01,
147,42.712561000,1.2.1,host,0x81,0x01,00343d746563746f72506f736974696f6e223a20226a61636b222c2263616273696d54797065223a2022363574776e222c226761696e223a20302e3333373235
148,42.712589000,host,1.2.1,0x81,0x01,
149,42.715116000,1.2.1,host,0x81,0x01,00343d352c2274726562223a20302e3334323831362c226d6964223a20302e352c2262617373223a20302e3535353535362c22736167223a20226d6174636822
150,42.715152000,host,1.2.1,0x81,0x01,
151,42.722446000,1.2.1,host,0x81,0x01,00343d2c2262696173223a20302e352c22627269676874223a20747275657d7d2c7b22647370556e6974506172616d6574657273223a207b7d2c2246656e6465
152,42.722516000,host,1.2.1,0x81,0x01,
153,42.722529000,1.2.1,host,0x81,0x01,00343d724964223a2022445542535f5061737374687275222c226e6f646554797065223a2022647370556e6974222c226e6f64654964223a202264656c617922
154,42.722532000,host,1.2.1,0x81,0x01,
155,42.725787000,1.2.1,host,0x81,0x01,00343d7d2c7b226e6f64654964223a2022726576657262222c226e6f646554797065223a2022647370556e6974222c2246656e6465724964223a202244554253
156,42.725868000,host,1.2.1,0x81,0x01,
157,42.726998000,1.2.1,host,0x81,0x01,00343d5f537072696e673635222c22647370556e6974506172616d6574657273223a207b22627970617373223a2066616c73652c226279706173735479706522
158,42.727021000,host,1.2.1,0x81,0x01,
159,42.729405000,1.2.1,host,0x81,0x01,00343d3a2022507265222c227765744c766c223a20302e352c226465636179223a20302e3338383838392c226477656c6c223a20302e32383838392c22646966
160,42.729453000,host,1.2.1,0x81,0x01,
161,42.731740000,1.2.1,host,0x81,0x01,00343d66757365223a20312c22746f6e65223a20317d7d5d2c22636f6e6e656374696f6e73223a205b7b22696e707574223a207b22696e646578223a20302c22
162,42.731763000,host,1.2.1,0x81,0x01,
163,42.734793000,1.2.1,host,0x81,0x01,00343d6e6f64654964223a2022707265736574227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202273746f6d70227d7d2c
164,42.734833000,host,1.2.1,0x81,0x01,
165,42.737292000,1.2.1,host,0x81,0x01,00343d7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b22696e646578223a
166,42.737354000,host,1.2.1,0x81,0x01,
167,42.739651000,1.2.1,host,0x81,0x01,00343d20312c226e6f64654964223a202273746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a202273746f6d70
168,42.739696000,host,1.2.1,0x81,0x01,
169,42.742043000,1.2.1,host,0x81,0x01,00343d227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d7d2c7b22696e707574223a207b22696e64657822
170,42.742094000,host,1.2.1,0x81,0x01,
171,42.744475000,1.2.1,host,0x81,0x01,00343d3a20312c226e6f64654964223a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a20226d6f64227d
172,42.744498000,host,1.2.1,0x81,0x01,
173,42.745489000,1.2.1,host,0x81,0x01,00343d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d2c226f7574707574223a207b22696e646578223a20
174,42.745507000,host,1.2.1,0x81,0x01,
175,42.746642000,1.2.1,host,0x81,0x01,00343d302c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a20226d6f64227d2c226f
176,42.746661000,host,1.2.1,0x81,0x01,
177,42.747822000,1.2.1,host,0x81,0x01,00343d7574707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e646578223a20302c22
178,42.747842000,host,1.2.1,0x81,0x01,
179,42.748884000,1.2.1,host,0x81,0x01,00343d6e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202264656c6179227d7d2c7b2269
180,42.748903000,host,1.2.1,0x81,0x01,
181,42.750043000,1.2.1,host,0x81,0x01,00343d6e707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578223a20312c226e6f
182,42.750062000,host,1.2.1,0x81,0x01,
183,42.751133000,1.2.1,host,0x81,0x01,00343d64654964223a202264656c6179227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a202264656c6179227d2c226f75
184,42.751150000,host,1.2.1,0x81,0x01,
185,42.752297000,1.2.1,host,0x81,0x01,00343d74707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d7d2c7b22696e707574223a207b22696e646578223a2031
186,42.752316000,host,1.2.1,0x81,0x01,
187,42.753424000,1.2.1,host,0x81,0x01,00343d2c226e6f64654964223a202264656c6179227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022726576657262227d
188,42.753443000,host,1.2.1,0x81,0x01,
189,42.754551000,1.2.1,host,0x81,0x01,00343d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d2c226f7574707574223a207b22696e646578
190,42.754570000,host,1.2.1,0x81,0x01,
191,42.755681000,1.2.1,host,0x81,0x01,00343d223a20302c226e6f64654964223a2022707265736574227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a20227265
192,42.755700000,host,1.2.1,0x81,0x01,3d3d
193,42.756796000,1.2.1,host,0x81,0x01,00353676657262227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d7d5d7d7d10014964223a202272
194,42.756814000,host,1.2.1,0x81,0x01,
195,42.757234000,host,1.2.1,0x01,0x01,35070800ca0602080201010010001000010101010101010101010101010101010101010101010106100001010101010101010101061000010101010101010100
196,42.759018000,1.2.1,host,0x01,0x01,
197,42.761282000,1.2.1,host,0x81,0x01,00333d0802fa01fc120af7127b22696e666f223a207b22646973706c61794e616d65223a202253494c4b59202020534f4c4f20202020222c2270726f64756374
198,42.761317000,host,1.2.1,0x81,0x01,
199,42.762417000,1.2.1,host,0x81,0x01,00343d5f6964223a20226d757374616e672d6c74222c22617574686f72223a2022222c2274696d657374616d70223a20313531303835353030352c2263726561
200,42.762432000,host,1.2.1,0x81,0x01,
201,42.763534000,1.2.1,host,0x81,0x01,00343d7465645f6174223a20302c2262706d223a20302c227072657365745f6964223a202238323730316533652d636166372d313165372d623732312d313731
202,42.763549000,host,1.2.1,0x81,0x01,
203,42.764656000,1.2.1,host,0x81,0x01,00343d653663376433303930222c22736f757263655f6964223a2022222c2269735f666163746f72795f64656661756c74223a20747275657d2c226e6f646554
204,42.764671000,host,1.2.1,0x81,0x01,
205,42.765780000,1.2.1,host,0x81,0x01,00343d797065223a2022707265736574222c22617564696f4772617068223a207b22636f6e6e656374696f6e73223a205b7b22696e707574223a207b22696e64
206,42.765795000,host,1.2.1,0x81,0x01,
207,42.766923000,1.2.1,host,0x81,0x01,00343d6578223a20302c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202273
208,42.766941000,host,1.2.1,0x81,0x01,
209,42.768960000,1.2.1,host,0x81,0x01,00343d746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b
210,42.768980000,host,1.2.1,0x81,0x01,
211,42.771202000,1.2.1,host,0x81,0x01,00343d22696e646578223a20312c226e6f64654964223a202273746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f6465496422
212,42.771250000,host,1.2.1,0x81,0x01,
213,42.773605000,1.2.1,host,0x81,0x01,00343d3a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d7d2c7b22696e707574223a20
214,42.773641000,host,1.2.1,0x81,0x01,
215,42.776368000,1.2.1,host,0x81,0x01,00343d7b22696e646578223a20312c226e6f64654964223a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20312c226e6f6465496422
216,42.776435000,host,1.2.1,0x81,0x01,
217,42.777536000,1.2.1,host,0x81,0x01,00343d3a20226d6f64227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d2c226f7574707574223a207b22
218,42.777600000,host,1.2.1,0x81,0x01,
219,42.778766000,1.2.1,host,0x81,0x01,00343d696e646578223a20302c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022
220,42.778842000,host,1.2.1,0x81,0x01,
221,42.780101000,1.2.1,host,0x81,0x01,00343d6d6f64227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e64
222,42.780193000,host,1.2.1,0x81,0x01,
223,42.783177000,1.2.1,host,0x81,0x01,00343d6578223a20302c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202264656c61
224,42.783222000,host,1.2.1,0x81,0x01,
225,42.786014000,1.2.1,host,0x81,0x01,00343d79227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578
226,42.786069000,host,1.2.1,0x81,0x01,
227,42.788458000,1.2.1,host,0x81,0x01,00343d223a20312c226e6f64654964223a202264656c6179227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a202264656c
228,42.788528000,host,1.2.1,0x81,0x01,
229,42.790951000,1.2.1,host,0x81,0x01,00343d6179227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d7d2c7b22696e707574223a207b2269
230,42.791067000,host,1.2.1,0x81,0x01,
231,42.791784000,1.2.1,host,0x81,0x01,00343d6e646578223a20312c226e6f64654964223a202264656c6179227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022
232,42.791805000,host,1.2.1,0x81,0x01,
233,42.792880000,1.2.1,host,0x81,0x01,00343d726576657262227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d2c226f7574707574223a
234,42.792906000,host,1.2.1,0x81,0x01,
235,42.794005000,1.2.1,host,0x81,0x01,00343d207b22696e646578223a20302c226e6f64654964223a2022707265736574227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f6465
236,42.794028000,host,1.2.1,0x81,0x01,
237,42.795127000,1.2.1,host,0x81,0x01,00343d4964223a2022726576657262227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d7d5d2c226e
238,42.795147000,host,1.2.1,0x81,0x01,
239,42.796248000,1.2.1,host,0x81,0x01,00343d6f646573223a205b7b22647370556e6974506172616d6574657273223a207b2262797061737354797065223a2022506f7374222c226c6576656c223a20
240,42.796265000,host,1.2.1,0x81,0x01,
241,42.797374000,1.2.1,host,0x81,0x01,00343d302e3434343434342c226d6964223a20302e352c2268696768223a20302e352c226c6f77223a20302e352c22627970617373223a2066616c73652c2267
242,42.797406000,host,1.2.1,0x81,0x01,
243,42.798502000,1.2.1,host,0x81,0x01,00343d61696e223a20302e3635333933357d2c2246656e6465724964223a2022445542535f4f7665726472697665222c226e6f646554797065223a2022647370
244,42.798534000,host,1.2.1,0x81,0x01,
245,42.799623000,1.2.1,host,0x81,0x01,00343d556e6974222c226e6f64654964223a202273746f6d70227d2c7b22647370556e6974506172616d6574657273223a207b7d2c2246656e6465724964223a
246,42.799655000,host,1.2.1,0x81,0x01,
247,42.800805000,1.2.1,host,0x81,0x01,00343d2022445542535f5061737374687275222c226e6f646554797065223a2022647370556e6974222c226e6f64654964223a20226d6f64227d2c7b22647370
248,42.800823000,host,1.2.1,0x81,0x01,
249,42.801932000,1.2.1,host,0x81,0x01,00343d556e6974506172616d6574657273223a207b226761696e32223a20302e352c2263616273696d54797065223a2022317831327373222c2274726562223a
250,42.801949000,host,1.2.1,0x81,0x01,
251,42.803074000,1.2.1,host,0x81,0x01,00343d20302e3732323232322c22736167223a20226d61746368222c226d6964223a20302e3732323232322c22766f6c756d65223a202d31342e383439323338
252,42.803092000,host,1.2.1,0x81,0x01,
253,42.804174000,1.2.1,host,0x81,0x01,00343d2c22676174654465746563746f72506f736974696f6e223a20226a61636b222c2262696173223a20302e352c226d6173746572223a20302e3336303738
254,42.804191000,host,1.2.1,0x81,0x01,
255,42.805269000,1.2.1,host,0x81,0x01,00343d342c226761696e223a20302e3333333333332c2267617465507265736574223a20226d6964222c2262617373223a20302e3636363636377d2c2246656e
256,42.805315000,host,1.2.1,0x81,0x01,
257,42.806423000,1.2.1,host,0x81,0x01,00343d6465724964223a2022445542535f5375706572536f6e6963222c226e6f646554797065223a2022647370556e6974222c226e6f64654964223a2022616d
258,42.806448000,host,1.2.1,0x81,0x01,
259,42.807547000,1.2.1,host,0x81,0x01,00343d70227d2c7b22647370556e6974506172616d6574657273223a207b226e6f74654469766973696f6e223a20226f6666222c226279706173735479706522
260,42.807571000,host,1.2.1,0x81,0x01,
261,42.808644000,1.2.1,host,0x81,0x01,00343d3a2022506f7374222c22776f774c6576656c223a20312c22666565646261636b223a20302e3034343434342c2274617054696d6542504d223a20313230
