frame.number,frame.time_relative,usb.src,usb.dst,usb.endpoint_address,usb.transfer_type,usbhid.data
319,42.858240000,1.2.1,host,0x81,0x01,00343d61737354797065223a2022507265222c226c6576656c223a20302e333131382c226465636179223a20302e352c226477656c6c223a20302e352c226469
320,42.858256000,host,1.2.1,0x81,0x01,
321,42.859306000,1.2.1,host,0x81,0x01,00343d6666757365223a20302e352c22746f6e65223a20302e357d7d5d2c22636f6e6e656374696f6e73223a205b7b22696e707574223a207b22696e64657822
322,42.859322000,host,1.2.1,0x81,0x01,
323,42.860483000,1.2.1,host,0x81,0x01,00343d3a20302c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202273746f6d
324,42.860499000,host,1.2.1,0x81,0x01,
325,42.861620000,1.2.1,host,0x81,0x01,00343d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d2c226f7574707574223a207b22696e
326,42.861637000,host,1.2.1,0x81,0x01,
327,42.862742000,1.2.1,host,0x81,0x01,00343d646578223a20312c226e6f64654964223a202273746f6d70227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a2022
328,42.862758000,host,1.2.1,0x81,0x01,
329,42.863872000,1.2.1,host,0x81,0x01,00343d73746f6d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d7d2c7b22696e707574223a207b2269
330,42.863888000,host,1.2.1,0x81,0x01,
331,42.864993000,1.2.1,host,0x81,0x01,00343d6e646578223a20312c226e6f64654964223a202273746f6d70227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022
332,42.865009000,host,1.2.1,0x81,0x01,
333,42.866123000,1.2.1,host,0x81,0x01,00343d6d6f64227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a20226d6f64227d2c226f7574707574223a207b22696e64
334,42.866142000,host,1.2.1,0x81,0x01,
335,42.867252000,1.2.1,host,0x81,0x01,00343d6578223a20302c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a20226d6f64
336,42.867269000,host,1.2.1,0x81,0x01,
337,42.868385000,1.2.1,host,0x81,0x01,00343d227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d7d2c7b22696e707574223a207b22696e64657822
338,42.868416000,host,1.2.1,0x81,0x01,
339,42.869507000,1.2.1,host,0x81,0x01,00343d3a20302c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a202264656c6179227d
340,42.869523000,host,1.2.1,0x81,0x01,
341,42.870628000,1.2.1,host,0x81,0x01,00343d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f64654964223a2022616d70227d2c226f7574707574223a207b22696e646578223a20
342,42.870644000,host,1.2.1,0x81,0x01,
343,42.871753000,1.2.1,host,0x81,0x01,00343d312c226e6f64654964223a202264656c6179227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a202264656c617922
344,42.871769000,host,1.2.1,0x81,0x01,
345,42.872877000,1.2.1,host,0x81,0x01,00343d7d2c226f7574707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d7d2c7b22696e707574223a207b22696e6465
346,42.872893000,host,1.2.1,0x81,0x01,
347,42.874004000,1.2.1,host,0x81,0x01,00343d78223a20312c226e6f64654964223a202264656c6179227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022726576
348,42.874020000,host,1.2.1,0x81,0x01,
349,42.875128000,1.2.1,host,0x81,0x01,00343d657262227d7d2c7b22696e707574223a207b22696e646578223a20302c226e6f64654964223a2022726576657262227d2c226f7574707574223a207b22
350,42.875147000,host,1.2.1,0x81,0x01,
351,42.876320000,1.2.1,host,0x81,0x01,00343d696e646578223a20302c226e6f64654964223a2022707265736574227d7d2c7b22696e707574223a207b22696e646578223a20312c226e6f6465496422
352,42.876359000,host,1.2.1,0x81,0x01,
353,42.877396000,1.2.1,host,0x81,0x01,00353b3a2022726576657262227d2c226f7574707574223a207b22696e646578223a20312c226e6f64654964223a2022707265736574227d7d5d7d7d10034964
354,42.877415000,host,1.2.1,0x81,0x01,
355,42.879063000,host,1.2.1,0x01,0x01,35070800ca0602080403020101001000100001010101010101010101010101010101010101010101010610000101010101010101010106100001010101010100
356,42.882070000,1.2.1,host,0x01,0x01,
357,42.883010000,1.2.1,host,0x81,0x01,00333d0802fa01e4100adf107b22696e666f223a207b22646973706c61794e616d65223a2022434c415353494320524f434b20202020222c2270726f64756374
358,42.883027000,host,1.2.1,0x81,0x01,
359,42.884144000,1.2.1,host,0x81,0x01,00343d5f6964223a20226d757374616e672d6c74222c22617574686f72223a2022222c2274696d657374616d70223a20313531303835353030352c2263726561
360,42.884173000,host,1.2.1,0x81,0x01,
361,42.885242000,1.2.1,host,0x81,0x01,00343d7465645f6174223a20302c2262706d223a20302c227072657365745f6964223a202238323730316533652d636166372d313165372d623732312d313731
362,42.885271000,host,1.2.1,0x81,0x01,
363,42.886415000,1.2.1,host,0x81,0x01,00343d653663376433303930222c22736f757263655f6964223a2022222c2269735f666163746f72795f64656661756c74223a20747275657d2c226e6f646554
364,42.886433000,host,1.2.1,0x81,0x01,
365,42.887514000,1.2.1,host,0x81,0x01,00343d797065223a2022707265736574222c22617564696f4772617068223a207b22636f6e6e656374696f6e73223a205b7b22696e707574223a207b22696e64
366,42.887524000,host,1.2.1,0x81,0x01,
